0,30,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570,600,630,660,690
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,0.16402,0.18156,NaN,NaN,NaN,0.2967,NaN,0.21111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.37764,NaN
0.28772,NaN,0.20087,0.16925,NaN,0.20026,0.19549,NaN,0.171,0.16911,0.13465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.29635,NaN
0.2071,0.13029,0.19699,0.33561,0.28901,NaN,0.21783,0.18686,NaN,0.25265,0.27462,NaN,0.19183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.28135,NaN,NaN,NaN
NaN,0.14799,0.20337,0.18489,0.21801,0.19192,0.26323,0.21309,NaN,0.18781,0.23768,0.30789,0.26537,NaN,0.14217,NaN,NaN,NaN,NaN,NaN,0.28018,NaN,NaN,NaN
0.20824,0.15545,0.2413,0.22393,0.19945,0.16688,0.32108,NaN,0.20599,NaN,0.23423,NaN,NaN,0.35073,0.31783,0.3375,0.30309,0.27158,0.32729,NaN,NaN,NaN,NaN,NaN
0.2633,0.15268,0.31624,0.23642,0.16489,NaN,NaN,NaN,NaN,NaN,NaN,0.27709,NaN,0.25267,0.20482,0.26702,0.24608,0.30941,0.19786,0.27501,0.13221,0.16014,NaN,NaN
NaN,0.15139,0.19108,0.13777,0.17166,NaN,0.17845,NaN,NaN,0.19855,0.31493,NaN,NaN,0.28209,0.24093,0.2688,0.22809,NaN,0.24826,0.33141,0.22415,0.24779,0.24688,0.24784
0.20249,0.15348,0.20147,0.15284,0.1841,0.18941,0.19222,0.21364,0.27363,0.21105,NaN,0.2252,0.13819,0.18783,0.19346,0.21929,0.19227,NaN,0.19729,0.25683,0.22982,0.20704,0.15306,NaN
0.32413,0.15827,0.21499,0.15509,0.18672,0.19479,0.19062,NaN,0.22068,NaN,0.21286,0.19586,0.18679,0.20037,0.11004,0.17401,0.16441,0.21275,0.15194,0.20464,0.14357,0.16611,NaN,0.14578
0.19259,0.15596,0.2373,0.18316,0.20482,0.18445,0.18424,0.25436,0.21758,0.22879,0.21445,0.21463,0.20097,0.17398,0.20905,0.13942,0.18866,0.12933,0.12516,0.19509,0.17122,0.16669,NaN,NaN
NaN,0.15088,NaN,NaN,NaN,0.17793,0.17697,0.19672,0.19994,0.21864,0.20627,0.21199,NaN,0.34307,0.19223,0.17882,0.15421,0.11184,0.14081,0.14437,0.13455,0.34656,0.1653,0.21688
0.17901,0.14558,NaN,0.17087,0.17099,0.17184,0.17805,0.31715,0.19584,0.20858,NaN,0.20399,0.19074,0.2108,0.3196,NaN,NaN,0.16112,0.18321,0.16968,0.16879,0.19156,0.1601,0.17615
0.17458,0.20358,0.23052,0.16652,0.14365,0.16804,0.23269,0.1833,0.24088,0.27182,0.19238,0.26828,0.17646,0.20867,0.27594,0.19536,0.2607,0.19344,0.19306,0.18652,0.21047,0.18066,0.22609,0.17494
0.23964,0.20342,0.14627,0.16136,0.16732,0.16441,0.16497,0.16098,0.16718,0.2368,0.17174,0.189,0.15237,NaN,NaN,0.195,0.18186,0.17718,NaN,0.18497,NaN,0.23253,0.17943,0.17181
0.21353,0.13451,0.15993,0.16093,0.15785,0.22593,0.20449,0.16163,0.16314,0.1985,0.14908,0.19963,0.32578,0.22745,0.24245,0.16613,0.24872,0.18097,0.18337,NaN,0.17802,0.29301,0.17564,NaN
0.16858,0.13187,0.16518,0.15417,0.15424,0.16228,0.15106,0.156,0.15607,0.15907,0.16335,0.16964,0.16266,NaN,0.34524,0.18866,0.18108,0.24809,0.1724,0.17594,NaN,0.16947,0.16876,0.16326
0.15666,0.13032,0.15313,0.15053,0.12481,0.14978,0.13303,0.15264,0.15052,0.15539,NaN,NaN,0.16013,0.32432,0.17221,0.20524,0.17368,0.26134,0.22958,NaN,0.13712,NaN,0.24666,0.15854
0.1548,0.12822,0.15148,0.14869,0.12174,0.18904,0.14984,0.19614,0.15232,0.1513,0.21668,0.15883,0.1647,0.3185,0.2345,0.22658,0.19213,0.2337,0.1705,0.14441,0.16665,0.21773,0.15711,0.15734
0.15308,0.12692,0.19468,0.14577,0.12179,0.18643,0.14799,0.10186,0.15052,0.18395,0.15005,0.15662,0.19349,0.18257,0.17261,NaN,0.25087,0.16718,0.17098,NaN,0.18842,0.16101,0.15493,0.15485
0.15082,0.12589,0.14807,0.19591,0.12038,0.15146,0.13663,0.14952,0.19362,0.29533,0.15201,NaN,NaN,NaN,0.17464,0.16468,0.16762,0.17522,0.2176,0.16458,0.15961,0.16055,0.15619,NaN
0.14909,0.17132,0.14648,0.14435,0.1198,0.15049,0.14489,0.14601,0.19916,0.21124,0.14984,0.20801,0.15897,0.16577,0.17622,0.15623,0.16862,0.16313,0.23056,0.2186,0.16205,0.20475,0.15733,0.19543
0.15061,0.12733,0.14493,0.20189,0.12026,0.18968,0.14581,0.1992,0.20872,0.1603,0.15095,0.15674,0.14918,NaN,0.27303,0.165,0.16747,0.16426,0.20544,0.16529,0.15237,0.16478,0.15933,0.19291
0.14952,0.12298,0.14287,0.1418,0.11893,0.14384,0.14338,0.14552,NaN,0.15631,0.14928,0.1521,0.1403,0.18641,NaN,NaN,0.21199,NaN,0.16071,0.1625,NaN,0.15711,0.15284,0.12079
0.12288,0.1207,NaN,0.14055,0.11789,0.12917,0.16036,0.12152,0.14623,0.14676,0.13017,0.16243,0.17272,0.18522,0.17828,0.16044,0.1604,0.17159,0.14576,0.13755,0.16719,0.15529,0.1653,0.12407
