Date Time, Water Level, Sigma, I, L 
2017-03-01 00:00,0.122,0.146,0,0
2017-03-01 01:00,0.343,0.127,0,0
2017-03-01 02:00,0.341,0.126,0,0
2017-03-01 03:00,0.267,0.115,0,0
2017-03-01 04:00,0.068,0.124,0,0
2017-03-01 05:00,-0.244,0.121,0,0
2017-03-01 06:00,-0.557,0.120,0,0
2017-03-01 07:00,-0.804,0.102,0,0
2017-03-01 08:00,-0.893,0.110,0,0
2017-03-01 09:00,-0.791,0.118,0,0
2017-03-01 10:00,-0.632,0.120,0,0
2017-03-01 11:00,-0.345,0.126,0,0
2017-03-01 12:00,-0.044,0.122,0,0
2017-03-01 13:00,0.251,0.124,0,0
2017-03-01 14:00,0.360,0.138,0,0
2017-03-01 15:00,0.290,0.115,0,0
2017-03-01 16:00,0.124,0.140,0,0
2017-03-01 17:00,-0.180,0.148,0,0
2017-03-01 18:00,-0.513,0.115,0,0
2017-03-01 19:00,-0.844,0.130,0,0
2017-03-01 20:00,-0.985,0.104,0,0
2017-03-01 21:00,-0.962,0.095,0,0
2017-03-01 22:00,-0.796,0.095,0,0
2017-03-01 23:00,-0.552,0.090,0,0
2017-03-02 00:00,-0.192,0.093,0,0
2017-03-02 01:00,0.107,0.100,0,0
2017-03-02 02:00,0.275,0.091,0,0
2017-03-02 03:00,0.288,0.105,0,0
2017-03-02 04:00,0.194,0.084,0,0
2017-03-02 05:00,0.006,0.085,0,0
2017-03-02 06:00,-0.312,0.101,0,0
2017-03-02 07:00,-0.647,0.086,0,0
2017-03-02 08:00,-0.802,0.106,0,0
2017-03-02 09:00,-0.863,0.088,0,0
2017-03-02 10:00,-0.776,0.070,0,0
2017-03-02 11:00,-0.679,0.097,0,0
2017-03-02 12:00,-0.333,0.084,0,0
2017-03-02 13:00,-0.072,0.100,0,0
2017-03-02 14:00,0.119,0.098,0,0
2017-03-02 15:00,0.184,0.097,0,0
2017-03-02 16:00,0.193,0.122,0,0
2017-03-02 17:00,0.007,0.119,0,0
2017-03-02 18:00,-0.287,0.128,0,0
2017-03-02 19:00,-0.569,0.136,0,0
2017-03-02 20:00,-0.798,0.122,0,0
2017-03-02 21:00,-0.902,0.090,0,0
2017-03-02 22:00,-0.839,0.095,0,0
2017-03-02 23:00,-0.733,0.090,0,0
2017-03-03 00:00,-0.485,0.095,0,0
2017-03-03 01:00,-0.163,0.098,0,0
2017-03-03 02:00,0.134,0.095,0,0
2017-03-03 03:00,0.210,0.104,0,0
2017-03-03 04:00,0.202,0.101,0,0
2017-03-03 05:00,0.080,0.098,0,0
2017-03-03 06:00,-0.152,0.086,0,0
2017-03-03 07:00,-0.444,0.099,0,0
