Date Time, Water Level, Sigma, I, L 
2017-02-01 00:00,-0.400,0.127,0,0
2017-02-01 01:00,-0.114,0.107,0,0
2017-02-01 02:00,0.154,0.095,0,0
2017-02-01 03:00,0.178,0.130,0,0
2017-02-01 04:00,0.110,0.082,0,0
2017-02-01 05:00,-0.043,0.089,0,0
2017-02-01 06:00,-0.244,0.082,0,0
2017-02-01 07:00,-0.523,0.085,0,0
2017-02-01 08:00,-0.702,0.079,0,0
2017-02-01 09:00,-0.752,0.078,0,0
2017-02-01 10:00,-0.649,0.078,0,0
2017-02-01 11:00,-0.496,0.067,0,0
2017-02-01 12:00,-0.279,0.077,0,0
2017-02-01 13:00,0.047,0.070,0,0
2017-02-01 14:00,0.299,0.067,0,0
2017-02-01 15:00,0.426,0.077,0,0
2017-02-01 16:00,0.389,0.073,0,0
2017-02-01 17:00,0.258,0.066,0,0
2017-02-01 18:00,0.021,0.067,0,0
2017-02-01 19:00,-0.269,0.052,0,0
2017-02-01 20:00,-0.534,0.053,0,0
2017-02-01 21:00,-0.669,0.058,0,0
2017-02-01 22:00,-0.648,0.058,0,0
2017-02-01 23:00,-0.547,0.058,0,0
2017-02-02 00:00,-0.371,0.060,0,0
2017-02-02 01:00,-0.064,0.076,0,0
2017-02-02 02:00,0.189,0.072,0,0
2017-02-02 03:00,0.338,0.054,0,0
2017-02-02 04:00,0.374,0.079,0,0
2017-02-02 05:00,0.288,0.057,0,0
2017-02-02 06:00,0.134,0.055,0,0
2017-02-02 07:00,-0.121,0.056,0,0
2017-02-02 08:00,-0.388,0.047,0,0
2017-02-02 09:00,-0.626,0.064,0,0
2017-02-02 10:00,-0.658,0.072,0,0
2017-02-02 11:00,-0.593,0.056,0,0
2017-02-02 12:00,-0.456,0.066,0,0
2017-02-02 13:00,-0.206,0.066,0,0
2017-02-02 14:00,0.074,0.066,0,0
2017-02-02 15:00,0.294,0.078,0,0
2017-02-02 16:00,0.289,0.067,0,0
2017-02-02 17:00,0.206,0.068,0,0
2017-02-02 18:00,0.049,0.084,0,0
2017-02-02 19:00,-0.176,0.082,0,0
2017-02-02 20:00,-0.460,0.102,0,0
2017-02-02 21:00,-0.628,0.102,0,0
2017-02-02 22:00,-0.763,0.129,0,0
2017-02-02 23:00,-0.722,0.111,0,0
2017-02-03 00:00,-0.592,0.096,0,0
