Date Time, Water Level, Sigma, I, L 
2016-04-28 00:00,0.116,0.149,0,0
2016-04-28 01:00,0.319,0.141,0,0
2016-04-28 02:00,0.484,0.152,0,0
2016-04-28 03:00,0.587,0.167,0,0
2016-04-28 04:00,0.628,0.147,0,0
2016-04-28 05:00,0.588,0.184,0,0
2016-04-28 06:00,0.416,0.174,0,0
2016-04-28 07:00,0.212,0.149,0,0
2016-04-28 08:00,-0.062,0.175,0,0
2016-04-28 09:00,-0.261,0.137,0,0
2016-04-28 10:00,-0.356,0.175,0,0
2016-04-28 11:00,-0.355,0.160,0,0
2016-04-28 12:00,-0.291,0.151,0,0
2016-04-28 13:00,-0.130,0.132,0,0
2016-04-28 14:00,0.103,0.165,0,0
2016-04-28 15:00,0.279,0.149,0,0
2016-04-28 16:00,0.340,0.130,0,0
2016-04-28 17:00,0.357,0.122,0,0
2016-04-28 18:00,0.281,0.119,0,0
2016-04-28 19:00,0.139,0.138,0,0
2016-04-28 20:00,0.012,0.107,0,0
2016-04-28 21:00,-0.121,0.128,0,0
2016-04-28 22:00,-0.221,0.129,0,0
2016-04-28 23:00,-0.219,0.113,0,0
