Date Time, Water Level, Sigma, I, L 
2017-05-01 00:00,-0.389,0.059,0,0
2017-05-01 01:00,-0.044,0.053,0,0
2017-05-01 02:00,0.302,0.060,0,0
2017-05-01 03:00,0.460,0.057,0,0
2017-05-01 04:00,0.503,0.060,0,0
2017-05-01 05:00,0.397,0.061,0,0
2017-05-01 06:00,0.171,0.077,0,0
2017-05-01 07:00,-0.120,0.064,0,0
2017-05-01 08:00,-0.429,0.051,0,0
2017-05-01 09:00,-0.686,0.049,0,0
2017-05-01 10:00,-0.758,0.061,0,0
2017-05-01 11:00,-0.739,0.049,0,0
2017-05-01 12:00,-0.564,0.061,0,0
2017-05-01 13:00,-0.349,0.058,0,0
2017-05-01 14:00,-0.046,0.073,0,0
2017-05-01 15:00,0.196,0.068,0,0
2017-05-01 16:00,0.290,0.078,0,0
2017-05-01 17:00,0.271,0.079,0,0
2017-05-01 18:00,0.143,0.069,0,0
2017-05-01 19:00,-0.052,0.073,0,0
2017-05-01 20:00,-0.322,0.084,0,0
2017-05-01 21:00,-0.566,0.080,0,0
2017-05-01 22:00,-0.688,0.084,0,0
2017-05-01 23:00,-0.657,0.098,0,0
2017-05-02 00:00,-0.600,0.113,0,0
2017-05-02 01:00,-0.383,0.080,0,0
2017-05-02 02:00,-0.090,0.088,0,0
2017-05-02 03:00,0.164,0.088,0,0
2017-05-02 04:00,0.297,0.083,0,0
2017-05-02 05:00,0.352,0.091,0,0
2017-05-02 06:00,0.304,0.083,0,0
2017-05-02 07:00,0.115,0.095,0,0
2017-05-02 08:00,-0.198,0.102,0,0
2017-05-02 09:00,-0.460,0.132,0,0
2017-05-02 10:00,-0.722,0.130,0,0
2017-05-02 11:00,-0.814,0.139,0,0
2017-05-02 12:00,-0.813,0.117,0,0
2017-05-02 13:00,-0.697,0.112,0,0
2017-05-02 14:00,-0.427,0.112,0,0
2017-05-02 15:00,-0.162,0.116,0,0
2017-05-02 16:00,0.115,0.133,0,0
2017-05-02 17:00,0.200,0.133,0,0
2017-05-02 18:00,0.184,0.130,0,0
2017-05-02 19:00,0.100,0.122,0,0
2017-05-02 20:00,-0.090,0.121,0,0
2017-05-02 21:00,-0.322,0.098,0,0
2017-05-02 22:00,-0.507,0.160,0,0
2017-05-02 23:00,-0.586,0.137,0,0
2017-05-03 00:00,-0.624,0.151,0,0
2017-05-03 01:00,-0.549,0.132,0,0
2017-05-03 02:00,-0.369,0.138,0,0
2017-05-03 03:00,-0.087,0.149,0,0
2017-05-03 04:00,0.181,0.117,0,0
2017-05-03 05:00,0.324,0.143,0,0
2017-05-03 06:00,0.357,0.146,0,0
2017-05-03 07:00,0.299,0.132,0,0
2017-05-03 08:00,0.130,0.130,0,0
2017-05-03 09:00,-0.109,0.125,0,0
2017-05-03 10:00,-0.383,0.095,0,0
2017-05-03 11:00,-0.574,0.073,0,0
2017-05-03 12:00,-0.627,0.086,0,0
2017-05-03 13:00,-0.608,0.088,0,0
2017-05-03 14:00,-0.498,0.101,0,0
2017-05-03 15:00,-0.269,0.097,0,0
2017-05-03 16:00,-0.003,0.074,0,0
2017-05-03 17:00,0.210,0.073,0,0
2017-05-03 18:00,0.331,0.106,0,0
2017-05-03 19:00,0.341,0.079,0,0
2017-05-03 20:00,0.218,0.070,0,0
2017-05-03 21:00,0.060,0.084,0,0
2017-05-03 22:00,-0.146,0.077,0,0
2017-05-03 23:00,-0.343,0.078,0,0
2017-05-04 00:00,-0.507,0.076,0,0
2017-05-04 01:00,-0.545,0.078,0,0
2017-05-04 02:00,-0.464,0.077,0,0
2017-05-04 03:00,-0.318,0.094,0,0
2017-05-04 04:00,-0.059,0.102,0,0
2017-05-04 05:00,0.195,0.101,0,0
2017-05-04 06:00,0.325,0.099,0,0
2017-05-04 07:00,0.345,0.115,0,0
2017-05-04 08:00,0.299,0.088,0,0
2017-05-04 09:00,0.116,0.150,0,0
2017-05-04 10:00,-0.078,0.179,0,0
2017-05-04 11:00,-0.305,0.164,0,0
2017-05-04 12:00,-0.476,0.167,0,0
2017-05-04 13:00,-0.585,0.172,0,0
2017-05-04 14:00,-0.561,0.154,0,0
2017-05-04 15:00,-0.430,0.192,0,0
2017-05-04 16:00,-0.254,0.127,0,0
2017-05-04 17:00,0.011,0.180,0,0
2017-05-04 18:00,0.208,0.204,0,0
2017-05-04 19:00,0.346,0.161,0,0
2017-05-04 20:00,0.342,0.200,0,0
2017-05-04 21:00,0.304,0.180,0,0
2017-05-04 22:00,0.146,0.214,0,0
2017-05-04 23:00,-0.045,0.195,0,0
2017-05-05 00:00,-0.272,0.206,0,0
2017-05-05 01:00,-0.385,0.185,0,0
2017-05-05 02:00,-0.430,0.199,0,0
2017-05-05 03:00,-0.327,0.240,0,0
2017-05-05 04:00,-0.168,0.208,0,0
2017-05-05 05:00,0.048,0.227,0,0
2017-05-05 06:00,0.290,0.223,0,0
2017-05-05 07:00,0.428,0.263,0,0
2017-05-05 08:00,0.448,0.242,0,0
2017-05-05 09:00,0.362,0.235,0,0
2017-05-05 10:00,0.270,0.276,0,0
2017-05-05 11:00,0.056,0.255,0,0
2017-05-05 12:00,-0.174,0.269,0,0
2017-05-05 13:00,-0.398,0.290,0,0
2017-05-05 14:00,-0.539,0.247,0,0
2017-05-05 15:00,-0.543,0.212,0,0
2017-05-05 16:00,-0.396,0.155,0,0
2017-05-05 17:00,-0.174,0.208,0,0
2017-05-05 18:00,0.140,0.249,0,0
2017-05-05 19:00,0.269,0.207,0,0
2017-05-05 20:00,0.529,0.214,0,0
2017-05-05 21:00,0.522,0.262,0,0
2017-05-05 22:00,0.410,0.230,0,0
2017-05-05 23:00,0.278,0.223,0,0
2017-05-06 00:00,0.015,0.183,0,0
2017-05-06 01:00,-0.205,0.207,0,0
2017-05-06 02:00,-0.345,0.209,0,0
2017-05-06 03:00,-0.448,0.177,0,0
2017-05-06 04:00,-0.424,0.186,0,0
2017-05-06 05:00,-0.245,0.165,0,0
2017-05-06 06:00,-0.049,0.179,0,0
2017-05-06 07:00,0.164,0.153,0,0
2017-05-06 08:00,0.316,0.174,0,0
2017-05-06 09:00,0.375,0.180,0,0
2017-05-06 10:00,0.300,0.177,0,0
2017-05-06 11:00,0.207,0.174,0,0
2017-05-06 12:00,-0.023,0.154,0,0
2017-05-06 13:00,-0.260,0.175,0,0
2017-05-06 14:00,-0.452,0.150,0,0
2017-05-06 15:00,-0.515,0.161,0,0
2017-05-06 16:00,-0.494,0.109,0,0
2017-05-06 17:00,-0.364,0.157,0,0
2017-05-06 18:00,-0.134,0.137,0,0
2017-05-06 19:00,0.110,0.135,0,0
2017-05-06 20:00,0.357,0.152,0,0
2017-05-06 21:00,0.433,0.124,0,0
2017-05-06 22:00,0.445,0.149,0,0
2017-05-06 23:00,0.361,0.119,0,0
2017-05-07 00:00,0.165,0.106,0,0
2017-05-07 01:00,-0.063,0.109,0,0
2017-05-07 02:00,-0.344,0.097,0,0
2017-05-07 03:00,-0.482,0.093,0,0
2017-05-07 04:00,-0.449,0.099,0,0
2017-05-07 05:00,-0.377,0.086,0,0
2017-05-07 06:00,-0.257,0.089,0,0
2017-05-07 07:00,-0.048,0.080,0,0
2017-05-07 08:00,0.193,0.103,0,0
2017-05-07 09:00,0.306,0.106,0,0
2017-05-07 10:00,0.346,0.125,0,0
2017-05-07 11:00,0.258,0.107,0,0
2017-05-07 12:00,0.153,0.123,0,0
2017-05-07 13:00,-0.152,0.121,0,0
2017-05-07 14:00,-0.305,0.096,0,0
2017-05-07 15:00,-0.498,0.092,0,0
2017-05-07 16:00,-0.542,0.101,0,0
2017-05-07 17:00,-0.518,0.110,0,0
2017-05-07 18:00,-0.319,0.091,0,0
2017-05-07 19:00,-0.067,0.110,0,0
2017-05-07 20:00,0.207,0.107,0,0
2017-05-07 21:00,0.419,0.102,0,0
2017-05-07 22:00,0.532,0.117,0,0
2017-05-07 23:00,0.504,0.090,0,0
2017-05-08 00:00,0.334,0.100,0,0
2017-05-08 01:00,0.134,0.133,0,0
2017-05-08 02:00,-0.108,0.112,0,0
2017-05-08 03:00,-0.404,0.096,0,0
2017-05-08 04:00,-0.528,0.125,0,0
2017-05-08 05:00,-0.548,0.095,0,0
2017-05-08 06:00,-0.455,0.093,0,0
2017-05-08 07:00,-0.349,0.100,0,0
