,pred,se
1,4.456630145,0.9999381
2,4.511283754,1.069181116
3,4.556999668,1.115533157
4,4.598790045,1.154496135
5,4.63842026,1.188020837
6,4.677074912,1.217048103
7,4.711987922,1.242285246
8,4.750335177,1.264299396
9,4.784900834,1.283554094
10,4.813886416,1.300433134
11,4.840899596,1.315257584
12,4.86823653,1.328298359
13,4.890280892,1.339785694
14,4.913466274,1.349916443
15,4.935446822,1.358859778
16,4.956038327,1.366761723
17,4.978684054,1.373748791
18,5.004274452,1.379930946
19,5.016043762,1.385404035
20,5.028573397,1.3902518
21,5.048238881,1.394547562
22,5.061851747,1.398355633
23,5.076884338,1.401732518
24,5.089372846,1.404727925
25,5.099676445,1.406648963
26,5.110547869,1.40873351
27,5.12087388,1.410609953
28,5.13062727,1.412277783
29,5.139820764,1.413759024
30,5.148472576,1.415074629
31,5.156650216,1.416243244
32,5.164290517,1.417281394
33,5.171515154,1.418203724
34,5.178373973,1.41902322
35,5.184845233,1.419751397
36,5.190922762,1.42039847
37,5.196701603,1.420973504
38,5.202119337,1.421484543
39,5.207226149,1.421938729
40,5.212043073,1.422342402
41,5.216543059,1.422701192
42,5.220731143,1.423020099
43,5.224840275,1.423303563
44,5.22869619,1.42355553
45,5.232230144,1.423779505
46,5.23562619,1.4239786
47,5.238799828,1.424155582
48,5.241814085,1.42431291
49,5.244675291,1.424455132
50,5.247358122,1.424580303
51,5.249886773,1.424691496
52,5.252270805,1.42479034
53,5.254518735,1.424878211
54,5.256638515,1.424956329
55,5.258636987,1.425025775
56,5.260522249,1.425087514
57,5.262299586,1.425142401
58,5.263974823,1.425191196
59,5.265554342,1.425234577
60,5.267043978,1.425273143
61,5.268447921,1.425307429
62,5.269772095,1.425337911
63,5.271020673,1.42536501
64,5.272197928,1.425389102
65,5.2733085,1.425410521
66,5.274356364,1.425429563
67,5.275342314,1.425446493
68,5.276272202,1.425461544
69,5.277150309,1.425474924
70,5.277977443,1.425486821
71,5.278757712,1.425497397
