"","x"
"1",107.654686
"2",106.8241043
"3",107.7365036
"4",104.903595
"5",104.716507
"6",106.4416275
"7",105.8913803
"8",100.367424
"9",100.2562332
"10",98.49835968
"11",98.16144562
"12",97.51027679
"13",99.35569
"14",91.94036102
"15",91.53462219
"16",91.04153442
"17",91.61772919
"18",93.58057404
"19",95.27238464
"20",95.08712769
"21",92.4240799
"22",92.73789215
"23",95.56130219
"24",93.69296265
"25",89.41627502
"26",84.78705597
"27",82.86902618
"28",82.70453644
"29",87.81252289
"30",85.52185059
"31",82.52615356
"32",80.62947845
"33",80.66130066
"34",82.46389771
"35",81.16845703
"36",77.35276031
"37",76.04393005
"38",77.69780731
"39",74.00697327
"40",70.79281616
"41",69.15087128
"42",67.23625946
"43",65.95439911
"44",60.45871735
"45",57.6758461
"46",58.66272736
"47",60.63301086
"48",60.95650101
"49",62.3848114
"50",64.84722137
"51",66.84716034
"52",70.48274231
"53",71.56304169
"54",74.27713013
"55",77.00537109
"56",79.37341309
"57",80.08973694
"58",82.67118073
"59",83.674263
"60",86.31993103
"61",86.68118286
"62",88.18653107
"63",89.25922394
"64",87.72808075
"65",87.63460541
"66",89.59490967
"67",91.45948792
"68",93.55170441
"69",91.05014038
"70",93.25450897
"71",95.95665741
"72",97.0351181
"73",93.82867432
"74",93.00896454
"75",94.60031891
"76",96.91453552
"77",93.60457611
"78",93.1661377
"79",95.69373322
"80",98.61354065
"81",95.77100372
"82",96.4033432
"83",94.1654129
"84",90.61175537
"85",92.38387299
"86",91.63861084
"87",88.61802673
"88",84.16836548
"89",80.18492126
"90",77.52327728
"91",76.3673172
"92",72.63830566
"93",54.41264343
"94",44.21334839
"95",42.31269836
"96",38.66218948
"97",36.81845474
"98",35.16307068
"99",37.33431625
"100",41.37814713
"101",43.78648758
"102",45.23635483
"103",45.54174805
"104",47.05735016
"105",48.82601547
"106",55.23994827
"107",57.01593781
"108",59.25956726
"109",61.69580078
"110",66.11408234
"111",68.98014832
"112",68.95822144
"113",68.23205566
"114",71.15377808
"115",69.00732422
"116",59.38064194
"117",38.34486771
"118",31.74404144
"119",32.32837296
"120",33.26363373
"121",32.40462112
"122",34.57275391
"123",37.770401
"124",37.63497162
"125",40.0452652
"126",42.42218018
"127",43.16500092
"128",40.83117294
"129",39.81877899
"130",40.73860168
"131",40.032444
"132",41.10316849
"133",40.27867126
"134",41.11262131
"135",43.05810165
"136",44.17684555
"137",44.50938034
"138",42.34571075
"139",43.69571686
"140",41.39950562
"141",42.22855759
"142",43.28657913
"143",45.63256836
"144",47.01554489
"145",46.29554367
"146",47.61662292
"147",47.23140335
"148",46.65711975
"149",45.76047897
"150",44.18612289
"151",45.45222473
"152",45.56954575
"153",44.93033981
"154",46.57125473
"155",45.98184967
"156",48.83897018
"157",49.22720337
"158",47.80845261
"159",50.51922607
"160",52.20176697
"161",51.43960571
"162",52.84628677
"163",51.24649429
"164",50.73788834
"165",50.6756134
"166",49.23961258
"167",49.8206749
"168",48.77238464
"169",49.32124329
"170",50.71623993
"171",50.14818192
"172",48.23073196
"173",45.70328522
"174",48.84131241
"175",51.8759079
"176",48.60027313
"177",50.69999695
"178",50.97907257
"179",49.52967834
"180",50.17588425
"181",51.36997223
"182",53.40443802
"183",56.65234375
"184",56.05323792
"185",52.62213135
"186",49.99159622
"187",44.19510269
"188",44.02447128
"189",43.07415009
"190",46.06075668
"191",47.08307266
"192",47.14114761
"193",49.66637802
"194",49.22717285
"195",49.58125305
"196",51.66223907
"197",52.91923523
"198",54.72704315
"199",56.77906418
"200",55.99051666
"201",55.98006058
"202",52.81911469
"203",54.92353058
"204",56.88960266
"205",60.12356567
"206",61.65839386
"207",61.59106064
"208",62.31381607
"209",67.10965729
"210",68.75717163
"211",69.13948822
"212",69.33363342
"213",69.31215668
"214",66.27823639
"215",70.21802521
"216",71.93450165
"217",75.84083557
"218",74.24225616
"219",74.84851837
"220",73.66308594
"221",75.09525299
"222",77.86965942
"223",78.62020111
"224",78.69403839
"225",79.70664215
"226",78.17732239
"227",81.03226471
"228",81.49623871
"229",80.78105927
"230",79.92492676
"231",78.46646881
"232",80.26849365
"233",82.9648056
"234",89.16370392
"235",96.74456787
"236",98.92756653
"237",100.5444183
"238",102.0719223
"239",101.9267502
"240",103.2865219
"241",104.4294815
"242",105.5991745
